location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,be_me,monthly,vw,1,13,4,1950-11-30,0.0236178780285115
usa,be_me,monthly,vw,1,16,6,1950-12-31,0.0443150890310325
usa,be_me,monthly,vw,1,21,8,1951-01-31,0.0137841271055939
usa,be_me,monthly,vw,1,30,12,1951-02-28,-0.0173576173177541
usa,be_me,monthly,vw,1,39,17,1951-03-31,0.0161941251263186
usa,be_me,monthly,vw,1,45,19,1951-04-30,0.0334483237257974
usa,be_me,monthly,vw,1,213,96,1951-05-31,0.00819438964902279
usa,be_me,monthly,vw,1,220,98,1951-06-30,-0.0195418408482099
usa,be_me,monthly,vw,1,224,100,1951-07-31,0.0428349122324368
usa,be_me,monthly,vw,1,230,103,1951-08-31,0.0145682855584499
usa,be_me,monthly,vw,1,234,105,1951-09-30,0.00071569696899236
usa,be_me,monthly,vw,1,236,107,1951-10-31,0.0376560408212122
usa,be_me,monthly,vw,1,236,106,1951-11-30,-0.00476630371627625
usa,be_me,monthly,vw,1,238,107,1951-12-31,-0.0364329844300501
usa,be_me,monthly,vw,1,239,107,1952-01-31,0.047663441136349
usa,be_me,monthly,vw,1,237,106,1952-02-29,0.00292349301479041
usa,be_me,monthly,vw,1,237,107,1952-03-31,-0.0149285219270713
usa,be_me,monthly,vw,1,238,107,1952-04-30,0.0015505090522529
usa,be_me,monthly,vw,1,239,108,1952-05-31,-0.010319481953132
usa,be_me,monthly,vw,1,241,107,1952-06-30,-0.00347438739753692
usa,be_me,monthly,vw,1,239,108,1952-07-31,0.00956175323472241
usa,be_me,monthly,vw,1,240,109,1952-08-31,-0.00204971463937422
usa,be_me,monthly,vw,1,240,108,1952-09-30,-0.0214320548621627
usa,be_me,monthly,vw,1,241,109,1952-10-31,0.00772771396434699
usa,be_me,monthly,vw,1,241,109,1952-11-30,-0.00529217590069263
usa,be_me,monthly,vw,1,242,110,1952-12-31,0.0111440374176709
usa,be_me,monthly,vw,1,241,110,1953-01-31,0.0264624642523782
usa,be_me,monthly,vw,1,241,110,1953-02-28,0.00792683618759965
usa,be_me,monthly,vw,1,242,109,1953-03-31,0.00425086896344407
usa,be_me,monthly,vw,1,244,110,1953-04-30,-0.00148054017291409
usa,be_me,monthly,vw,1,244,111,1953-05-31,0.000466281946347803
usa,be_me,monthly,vw,1,243,110,1953-06-30,-0.00480133682888212
usa,be_me,monthly,vw,1,241,109,1953-07-31,-0.00595072811343366
usa,be_me,monthly,vw,1,242,111,1953-08-31,-0.0202928104251103
usa,be_me,monthly,vw,1,244,111,1953-09-30,-0.0311854363971929
usa,be_me,monthly,vw,1,244,111,1953-10-31,0.0036886780351452
usa,be_me,monthly,vw,1,243,111,1953-11-30,-0.0118782390839418
usa,be_me,monthly,vw,1,242,109,1953-12-31,-0.0142423939824888
usa,be_me,monthly,vw,1,243,110,1954-01-31,0.0589837048833252
usa,be_me,monthly,vw,1,241,110,1954-02-28,-0.00462055730411737
usa,be_me,monthly,vw,1,241,111,1954-03-31,-0.0140588764318949
usa,be_me,monthly,vw,1,244,111,1954-04-30,-0.0355111780861423
usa,be_me,monthly,vw,1,245,111,1954-05-31,0.0350598593018269
usa,be_me,monthly,vw,1,245,112,1954-06-30,-0.0297877446993935
usa,be_me,monthly,vw,1,245,111,1954-07-31,0.0295363110960474
usa,be_me,monthly,vw,1,243,110,1954-08-31,0.0100706289163259
usa,be_me,monthly,vw,1,244,111,1954-09-30,-0.00539262924292212
usa,be_me,monthly,vw,1,244,110,1954-10-31,0.0185549316328473
usa,be_me,monthly,vw,1,241,111,1954-11-30,0.016783320789996
usa,be_me,monthly,vw,1,239,110,1954-12-31,0.0512330414294008
usa,be_me,monthly,vw,1,241,110,1955-01-31,0.0132688897089318
usa,be_me,monthly,vw,1,242,109,1955-02-28,-0.00594185711795185
usa,be_me,monthly,vw,1,240,108,1955-03-31,-0.00282280366069537
usa,be_me,monthly,vw,1,241,109,1955-04-30,-0.0139066517686627
usa,be_me,monthly,vw,1,229,104,1955-05-31,-0.0229711579934615
usa,be_me,monthly,vw,1,226,102,1955-06-30,0.0299881223732362
usa,be_me,monthly,vw,1,227,102,1955-07-31,-0.00668086431364277
usa,be_me,monthly,vw,1,226,102,1955-08-31,0.00292819992055209
usa,be_me,monthly,vw,1,227,102,1955-09-30,-0.0131533528856531
usa,be_me,monthly,vw,1,223,101,1955-10-31,0.0196663977130953
usa,be_me,monthly,vw,1,224,101,1955-11-30,-0.0556260679677272
usa,be_me,monthly,vw,1,225,101,1955-12-31,-0.000185222512797213
usa,be_me,monthly,vw,1,223,102,1956-01-31,0.032625495147557
usa,be_me,monthly,vw,1,223,102,1956-02-29,-0.0132882679021226
usa,be_me,monthly,vw,1,224,102,1956-03-31,-0.0214279790171733
usa,be_me,monthly,vw,1,227,102,1956-04-30,-0.0111562972857678
usa,be_me,monthly,vw,1,228,103,1956-05-31,0.0212122745265494
usa,be_me,monthly,vw,1,229,102,1956-06-30,-0.0296119481573354
usa,be_me,monthly,vw,1,229,102,1956-07-31,-0.0135308162283303
usa,be_me,monthly,vw,1,230,102,1956-08-31,0.0255338003088225
usa,be_me,monthly,vw,1,230,101,1956-09-30,0.0291255746515257
usa,be_me,monthly,vw,1,228,101,1956-10-31,0.000670839575336297
usa,be_me,monthly,vw,1,231,102,1956-11-30,0.0206838633407926
usa,be_me,monthly,vw,1,231,102,1956-12-31,-0.0107550350025596
usa,be_me,monthly,vw,1,233,101,1957-01-31,0.0452771040704486
usa,be_me,monthly,vw,1,231,101,1957-02-28,-0.0185863812374746
usa,be_me,monthly,vw,1,233,103,1957-03-31,-0.014402366724386
usa,be_me,monthly,vw,1,231,101,1957-04-30,-0.0232845831792905
usa,be_me,monthly,vw,1,234,104,1957-05-31,-0.0329624928821676
usa,be_me,monthly,vw,1,234,103,1957-06-30,-0.0248608874086291
usa,be_me,monthly,vw,1,234,103,1957-07-31,-0.0149536095181139
usa,be_me,monthly,vw,1,234,103,1957-08-31,0.0145687839613504
usa,be_me,monthly,vw,1,234,104,1957-09-30,0.00863892174442242
usa,be_me,monthly,vw,1,232,105,1957-10-31,-0.0300846908342962
usa,be_me,monthly,vw,1,234,105,1957-11-30,-0.0189092868564006
usa,be_me,monthly,vw,1,233,105,1957-12-31,-0.0385787774455904
usa,be_me,monthly,vw,1,233,105,1958-01-31,0.0767742276792165
usa,be_me,monthly,vw,1,235,104,1958-02-28,-0.00842693398974973
usa,be_me,monthly,vw,1,235,105,1958-03-31,0.0140948385739266
usa,be_me,monthly,vw,1,235,105,1958-04-30,-0.0219832197589939
usa,be_me,monthly,vw,1,237,106,1958-05-31,0.0286313858678881
usa,be_me,monthly,vw,1,236,106,1958-06-30,0.00188128368588771
usa,be_me,monthly,vw,1,237,105,1958-07-31,0.0093301427434672
usa,be_me,monthly,vw,1,236,106,1958-08-31,0.0020984501400534
usa,be_me,monthly,vw,1,238,106,1958-09-30,0.00162974771782414
usa,be_me,monthly,vw,1,238,106,1958-10-31,-0.00412627500908188
usa,be_me,monthly,vw,1,240,106,1958-11-30,-0.0123841233485939
usa,be_me,monthly,vw,1,239,107,1958-12-31,-0.0332619630354288
usa,be_me,monthly,vw,1,239,105,1959-01-31,0.0540542659446008
usa,be_me,monthly,vw,1,240,106,1959-02-28,-0.00785142285179193
usa,be_me,monthly,vw,1,241,106,1959-03-31,0.00766963663658923
usa,be_me,monthly,vw,1,240,105,1959-04-30,-0.0418481143762158
usa,be_me,monthly,vw,1,244,106,1959-05-31,-0.00603422284519839
usa,be_me,monthly,vw,1,243,106,1959-06-30,-0.00429246647283517
usa,be_me,monthly,vw,1,243,106,1959-07-31,0.00569125618733722
usa,be_me,monthly,vw,1,242,106,1959-08-31,-0.00122702153478679
usa,be_me,monthly,vw,1,242,105,1959-09-30,-0.00508364777287081
usa,be_me,monthly,vw,1,243,106,1959-10-31,-0.0069382342919343
usa,be_me,monthly,vw,1,242,106,1959-11-30,-0.0356234409063728
usa,be_me,monthly,vw,1,243,106,1959-12-31,-0.00165205639912706
usa,be_me,monthly,vw,1,244,106,1960-01-31,0.0265290233140689
usa,be_me,monthly,vw,1,242,106,1960-02-29,-0.0373321707614331
usa,be_me,monthly,vw,1,243,108,1960-03-31,-0.0272787006389545
usa,be_me,monthly,vw,1,242,108,1960-04-30,-0.00400273820850309
usa,be_me,monthly,vw,1,246,108,1960-05-31,-0.0662409695753428
usa,be_me,monthly,vw,1,244,108,1960-06-30,0.0085813182914191
usa,be_me,monthly,vw,1,244,108,1960-07-31,0.0349453985173416
usa,be_me,monthly,vw,1,244,109,1960-08-31,0.0095629465978825
usa,be_me,monthly,vw,1,245,110,1960-09-30,0.0376943500695562
usa,be_me,monthly,vw,1,246,110,1960-10-31,0.00602336991771511
usa,be_me,monthly,vw,1,246,110,1960-11-30,-0.0153508873723477
usa,be_me,monthly,vw,1,249,110,1960-12-31,0.0246275086292234
usa,be_me,monthly,vw,1,256,111,1961-01-31,0.0632339022306041
usa,be_me,monthly,vw,1,256,111,1961-02-28,0.00150590946770132
usa,be_me,monthly,vw,1,259,113,1961-03-31,0.00531417373222474
usa,be_me,monthly,vw,1,262,112,1961-04-30,0.0312583691108223
usa,be_me,monthly,vw,1,303,126,1961-05-31,0.0262036868336944
usa,be_me,monthly,vw,1,304,126,1961-06-30,-0.0212643867962537
usa,be_me,monthly,vw,1,304,124,1961-07-31,0.0026794240203766
usa,be_me,monthly,vw,1,304,126,1961-08-31,-0.0173388400513575
usa,be_me,monthly,vw,1,303,125,1961-09-30,-0.0365761773351832
usa,be_me,monthly,vw,1,306,125,1961-10-31,0.0152957321392758
usa,be_me,monthly,vw,1,311,126,1961-11-30,-0.0088041064804043
usa,be_me,monthly,vw,1,309,127,1961-12-31,0.0218394030048767
usa,be_me,monthly,vw,1,312,129,1962-01-31,0.0554825348470621
usa,be_me,monthly,vw,1,419,179,1962-02-28,0.0075280514272811
usa,be_me,monthly,vw,1,456,198,1962-03-31,-0.0187133437534727
usa,be_me,monthly,vw,1,455,199,1962-04-30,0.00584605579642814
usa,be_me,monthly,vw,1,551,244,1962-05-31,0.0422635904780319
usa,be_me,monthly,vw,1,552,245,1962-06-30,0.0135390341250717
usa,be_me,monthly,vw,1,551,245,1962-07-31,-0.046313877832646
usa,be_me,monthly,vw,1,670,285,1962-08-31,-0.00289334347678891
usa,be_me,monthly,vw,1,661,281,1962-09-30,-0.00732156588514536
usa,be_me,monthly,vw,1,670,280,1962-10-31,-0.0120307923918871
usa,be_me,monthly,vw,1,685,285,1962-11-30,0.0294257983552057
usa,be_me,monthly,vw,1,697,282,1962-12-31,-0.0221422438022882
usa,be_me,monthly,vw,1,700,281,1963-01-31,0.0228129748887418
usa,be_me,monthly,vw,1,702,286,1963-02-28,0.012508741012777
usa,be_me,monthly,vw,1,708,288,1963-03-31,0.00170695495920605
usa,be_me,monthly,vw,1,711,288,1963-04-30,0.0120075966473704
usa,be_me,monthly,vw,1,765,311,1963-05-31,0.016235479116056
usa,be_me,monthly,vw,1,771,312,1963-06-30,0.00313065140990453
usa,be_me,monthly,vw,1,774,319,1963-07-31,-0.00919006705978464
usa,be_me,monthly,vw,1,777,319,1963-08-31,0.0070072952108482
usa,be_me,monthly,vw,1,792,318,1963-09-30,0.00315328458554685
usa,be_me,monthly,vw,1,794,317,1963-10-31,-0.0295139293005902
usa,be_me,monthly,vw,1,802,323,1963-11-30,0.00719962635799367
usa,be_me,monthly,vw,1,796,318,1963-12-31,-0.012899157146995
usa,be_me,monthly,vw,1,813,321,1964-01-31,-0.00705956878273797
usa,be_me,monthly,vw,1,807,325,1964-02-29,0.0149194032848605
usa,be_me,monthly,vw,1,808,323,1964-03-31,0.0245103856292661
usa,be_me,monthly,vw,1,814,325,1964-04-30,0.00137641445305645
usa,be_me,monthly,vw,1,822,331,1964-05-31,0.00021292303206456
usa,be_me,monthly,vw,1,825,328,1964-06-30,0.0119084757185108
usa,be_me,monthly,vw,1,829,325,1964-07-31,-0.0027671337733252
usa,be_me,monthly,vw,1,840,329,1964-08-31,0.00546946544044604
usa,be_me,monthly,vw,1,844,333,1964-09-30,0.0167765974808693
usa,be_me,monthly,vw,1,852,336,1964-10-31,0.00923435938767194
usa,be_me,monthly,vw,1,856,340,1964-11-30,-0.020704917816209
usa,be_me,monthly,vw,1,849,339,1964-12-31,-0.0224270972469707
usa,be_me,monthly,vw,1,855,332,1965-01-31,-0.00241545042409597
usa,be_me,monthly,vw,1,877,345,1965-02-28,0.00389156435578813
usa,be_me,monthly,vw,1,883,344,1965-03-31,0.00902533960034089
usa,be_me,monthly,vw,1,890,347,1965-04-30,-0.0113585786598099
usa,be_me,monthly,vw,1,910,367,1965-05-31,0.0015321667790061
usa,be_me,monthly,vw,1,916,369,1965-06-30,0.00262423901889147
usa,be_me,monthly,vw,1,924,368,1965-07-31,0.0153309007779819
usa,be_me,monthly,vw,1,936,374,1965-08-31,-0.00512177925587276
usa,be_me,monthly,vw,1,936,374,1965-09-30,-0.00914791634907646
usa,be_me,monthly,vw,1,942,377,1965-10-31,0.00405001487563427
usa,be_me,monthly,vw,1,949,386,1965-11-30,-0.000857872183764193
usa,be_me,monthly,vw,1,956,390,1965-12-31,0.0188425508252485
